Trade_No,Trade_Type,Date,TradeEntryTime,TradeEntryPrice,TradeExitTime,TradeExitPrice,NetTradePoints
1,Long,2019-01-02,3:16 PM,10904.2,9:18 AM,10858.85,-45.350000000000364
2,Short,2019-01-03,3:16 PM,10780.65,9:18 AM,10773.1,7.549999999999272
3,Short,2019-01-04,3:16 PM,10670.35,9:18 AM,10705.15,-34.79999999999927
4,Long,2019-01-07,3:16 PM,10720.95,9:18 AM,10815.7,94.75
5,Long,2019-01-08,3:16 PM,10776.0,9:18 AM,10738.1,-37.899999999999636
6,Long,2019-01-09,3:16 PM,10806.6,9:18 AM,10867.3,60.69999999999891
7,Long,2019-01-10,3:16 PM,10864.1,9:18 AM,10837.7,-26.399999999999636
8,Long,2019-01-11,3:16 PM,10819.05,9:18 AM,10835.55,16.5
9,Long,2019-01-14,3:16 PM,10797.15,9:18 AM,10754.85,-42.29999999999927
10,Long,2019-01-15,3:16 PM,10736.2,9:18 AM,10782.5,46.29999999999927
11,Long,2019-01-16,3:16 PM,10886.9,9:18 AM,10902.9,16.0
12,Short,2019-01-17,3:16 PM,10889.15,9:18 AM,10924.6,-35.45000000000073
13,Short,2019-01-18,3:16 PM,10904.4,9:18 AM,10915.3,-10.899999999999636
14,Long,2019-01-21,3:16 PM,10900.35,9:18 AM,10899.7,-0.6499999999996362
15,Short,2019-01-22,3:16 PM,10962.45,9:18 AM,10927.85,34.600000000000364
16,Long,2019-01-23,3:16 PM,10924.55,9:18 AM,10927.55,3.0
17,Short,2019-01-24,3:16 PM,10816.4,9:18 AM,10843.0,-26.600000000000364
18,Long,2019-01-25,3:16 PM,10859.4,9:18 AM,10907.8,48.399999999999636
19,Short,2019-01-28,3:16 PM,10783.75,9:18 AM,10759.5,24.25
20,Short,2019-01-29,3:16 PM,10653.45,9:18 AM,10627.9,25.55000000000109
21,Long,2019-01-30,3:16 PM,10641.9,9:18 AM,10692.5,50.600000000000364
22,Long,2019-01-31,3:16 PM,10648.65,9:18 AM,10699.0,50.350000000000364
23,Long,2019-02-01,3:16 PM,10829.3,9:18 AM,10861.05,31.75
24,Long,2019-02-04,3:16 PM,10894.95,9:18 AM,10849.05,-45.900000000001455
25,Short,2019-02-05,3:16 PM,10909.25,9:18 AM,10921.15,-11.899999999999636
26,Short,2019-02-06,3:16 PM,10931.65,9:18 AM,10979.3,-47.649999999999636
27,Long,2019-02-07,3:16 PM,11059.4,9:18 AM,11079.85,20.450000000000728
28,Short,2019-02-08,3:16 PM,11070.8,9:18 AM,11027.25,43.54999999999927
29,Short,2019-02-11,3:16 PM,10934.45,9:18 AM,10892.35,42.100000000000364
30,Short,2019-02-12,3:16 PM,10881.75,9:18 AM,10898.4,-16.649999999999636
31,Short,2019-02-13,3:16 PM,10834.95,9:18 AM,10886.9,-51.94999999999891
32,Short,2019-02-14,3:16 PM,10781.35,9:18 AM,10769.35,12.0
33,Short,2019-02-15,3:16 PM,10742.2,9:18 AM,10727.75,14.450000000000728
34,Long,2019-02-18,3:16 PM,10737.4,9:18 AM,10714.25,-23.149999999999636
35,Short,2019-02-19,3:16 PM,10642.75,9:18 AM,10661.05,-18.299999999999272
36,Short,2019-02-20,3:16 PM,10592.1,9:18 AM,10662.05,-69.94999999999891
37,Long,2019-02-21,3:16 PM,10736.25,9:18 AM,10727.75,-8.5
38,Long,2019-02-22,3:16 PM,10786.9,9:18 AM,10776.1,-10.799999999999272
39,Short,2019-02-25,3:16 PM,10786.45,9:18 AM,10818.8,-32.349999999998545
40,Long,2019-02-26,3:16 PM,10884.25,9:18 AM,10830.65,-53.600000000000364
41,Short,2019-02-27,3:16 PM,10837.65,9:18 AM,10890.2,-52.55000000000109
42,Long,2019-02-28,3:16 PM,10807.35,9:18 AM,10847.6,40.25
43,Short,2019-03-01,3:16 PM,10791.7,9:18 AM,10848.45,-56.75
44,Short,2019-03-05,3:16 PM,10859.9,9:18 AM,10843.7,16.19999999999891
45,Long,2019-03-06,3:16 PM,10989.7,9:18 AM,11032.25,42.54999999999927
46,Long,2019-03-07,3:16 PM,11048.95,9:18 AM,11056.9,7.949999999998909
47,Short,2019-03-08,3:16 PM,11053.0,9:18 AM,11032.95,20.049999999999272
48,Long,2019-03-11,3:16 PM,11036.35,9:18 AM,11090.75,54.399999999999636
49,Long,2019-03-12,3:16 PM,11168.6,9:18 AM,11246.8,78.19999999999891
50,Short,2019-03-13,3:16 PM,11301.15,9:18 AM,11303.55,-2.399999999999636
51,Long,2019-03-14,3:16 PM,11337.7,9:18 AM,11375.05,37.349999999998545
52,Long,2019-03-15,3:16 PM,11343.8,9:18 AM,11391.2,47.400000000001455
